G	ifd_prop	time_to_IFD	sd_intake	
0	0.99997	7.60021	3.80703e-05	
10	1	7.57024	4.16521e-05	
20	0.99989	8.53019	4.82008e-05	
30	0.99995	8.91024	4.56221e-05	
40	0.99993	8.21015	4.6835e-05	
50	0.99995	7.66016	3.83191e-05	
60	0.99989	8.24029	4.81093e-05	
70	0.9999	8.77022	4.23326e-05	
80	0.99995	8.80015	4.56038e-05	
90	0.9999	8.94018	4.93939e-05	
100	0.99997	7.88024	4.372e-05	
110	0.99987	8.84013	4.47996e-05	
120	0.99992	7.87019	4.3656e-05	
130	0.99991	8.40013	4.6581e-05	
140	0.99996	7.87019	4.14446e-05	
150	0.99986	9.24022	4.8804e-05	
160	0.99988	8.39026	4.71824e-05	
170	0.99996	7.80028	4.12718e-05	
180	0.99991	8.30028	4.74262e-05	
190	0.99999	8.02016	4.18155e-05	
200	0.99999	7.84018	3.75469e-05	
210	0.99997	8.35018	4.054e-05	
220	0.99994	8.0002	3.83006e-05	
230	0.99992	8.14018	4.07583e-05	
240	0.99994	7.94015	4.04576e-05	
250	0.99995	8.05028	4.67815e-05	
260	0.99993	9.12026	4.63033e-05	
270	0.99992	8.74019	5.22814e-05	
280	0.99988	8.92035	4.50949e-05	
290	0.99993	8.27016	4.30557e-05	
300	0.99987	8.79035	5.23915e-05	
310	0.99993	8.5102	4.86949e-05	
320	0.99994	8.82013	4.66513e-05	
330	0.99995	8.73018	3.95794e-05	
340	0.99991	8.20014	4.18387e-05	
350	0.99994	8.27025	4.94884e-05	
360	0.99992	8.69017	4.95873e-05	
370	0.99999	8.49028	4.34951e-05	
380	0.99996	7.9001	4.16818e-05	
390	0.99995	8.60016	5.13136e-05	
400	0.9999	8.81013	4.98413e-05	
410	0.9999	8.52033	4.22398e-05	
420	0.99992	9.03017	4.81552e-05	
430	0.99992	8.74028	5.07892e-05	
440	0.99984	9.16011	4.96107e-05	
450	0.99994	8.48019	4.08131e-05	
460	0.99996	8.47015	4.77211e-05	
470	0.99995	9.10016	5.04959e-05	
480	0.99995	8.58011	4.469e-05	
490	0.99988	8.72018	4.76186e-05	
500	0.99992	8.03032	4.76407e-05	
510	0.99997	7.35011	4.46095e-05	
520	0.99998	7.71021	3.55726e-05	
530	0.99988	9.40035	5.05251e-05	
540	0.99991	8.96022	4.66951e-05	
550	0.99997	8.10014	3.90734e-05	
560	0.99997	8.58029	3.95685e-05	
570	0.99989	8.38021	4.37788e-05	
580	0.99993	8.81027	4.74112e-05	
590	0.99998	7.84016	4.60668e-05	
600	0.99996	8.77009	4.40244e-05	
610	0.99996	8.20025	4.24341e-05	
620	0.99993	8.7601	4.5186e-05	
630	0.9999	8.71017	4.71015e-05	
640	0.99993	8.60019	5.00498e-05	
650	0.99991	8.33018	4.35009e-05	
660	0.99991	8.6703	4.53299e-05	
670	0.99991	8.1702	4.59201e-05	
680	0.9998	8.63023	5.6413e-05	
690	0.99993	8.65013	4.94771e-05	
700	0.99981	9.3502	5.26627e-05	
710	0.99992	9.16028	5.19209e-05	
720	0.99983	9.04023	4.74553e-05	
730	0.9999	9.34026	5.01155e-05	
740	0.99987	9.10016	5.01951e-05	
750	0.99995	8.38037	4.33096e-05	
760	0.99989	9.33029	5.07094e-05	
770	0.99988	9.49031	5.32759e-05	
780	0.99989	8.53022	4.79308e-05	
790	0.99993	9.01015	5.10729e-05	
800	0.99987	8.7502	5.28674e-05	
810	0.99982	8.91018	4.82482e-05	
820	0.9999	9.10027	4.52778e-05	
830	0.99976	9.36016	5.51134e-05	
840	0.99988	8.73026	4.34628e-05	
850	0.99983	8.64024	5.0261e-05	
860	0.99993	8.80019	3.9841e-05	
870	0.99991	8.50026	5.07426e-05	
880	0.99984	9.24015	5.53626e-05	
890	0.99989	9.02015	4.7039e-05	
900	0.99989	8.77025	4.2895e-05	
910	0.99988	8.81022	4.74457e-05	
920	0.99995	8.52015	4.24368e-05	
930	0.99995	8.44017	3.8254e-05	
940	0.99994	8.25019	4.5619e-05	
950	0.99983	9.19019	4.37509e-05	
960	0.9999	9.4102	4.86309e-05	
970	0.99971	9.71017	5.87229e-05	
980	0.99989	8.74013	5.0768e-05	
990	0.99988	9.37025	4.79713e-05	
1000	0.99997	8.69025	3.82179e-05	
1010	0.99971	9.65014	5.52874e-05	
1020	0.99981	9.06027	5.83973e-05	
1030	0.99996	8.63034	4.03208e-05	
1040	0.99994	8.35021	4.37518e-05	
1050	0.99991	8.62024	4.23847e-05	
1060	0.99972	8.79026	4.82422e-05	
1070	0.99989	9.14016	4.57996e-05	
1080	0.99998	8.97028	4.38089e-05	
1090	0.99985	9.01018	4.69145e-05	
1100	0.99983	9.43029	5.14458e-05	
1110	0.99988	9.03025	5.4228e-05	
1120	0.99973	9.11032	6.16282e-05	
1130	0.99974	9.25014	5.44701e-05	
1140	0.99987	9.43011	5.05853e-05	
1150	0.99975	8.9704	5.05729e-05	
1160	0.99988	9.14036	4.17929e-05	
1170	0.99985	9.16025	4.68547e-05	
