G	ifd_prop	time_to_IFD	sd_intake	
0	0.99991	9.15023	4.70052e-05	
10	0.99995	8.31014	4.98867e-05	
20	0.99993	8.40024	5.35216e-05	
30	0.99994	8.22015	4.20625e-05	
40	0.9999	8.49022	5.9588e-05	
50	0.99985	8.70021	4.81775e-05	
60	0.99989	8.50013	4.00257e-05	
70	0.99989	8.21013	5.46353e-05	
80	0.99997	8.5002	4.22745e-05	
90	0.99998	7.75008	4.00263e-05	
100	0.99998	7.91029	4.06734e-05	
110	0.99996	8.35024	4.40922e-05	
120	0.99986	8.83014	5.28876e-05	
130	0.99994	8.59019	4.90891e-05	
140	0.99983	8.94024	4.79763e-05	
150	1	7.37017	3.99051e-05	
160	0.99988	8.21014	5.16601e-05	
170	0.99988	8.54013	5.26948e-05	
180	0.99993	8.27017	4.71438e-05	
190	0.99995	8.83019	3.89123e-05	
200	0.99992	8.72039	4.5014e-05	
210	0.99991	8.63017	4.81747e-05	
220	0.99998	7.75022	4.29633e-05	
230	0.99998	7.6601	4.13895e-05	
240	0.99995	8.60028	4.72421e-05	
250	0.99992	9.04019	4.76991e-05	
260	0.99986	9.12013	5.01766e-05	
270	0.99987	8.88017	5.09245e-05	
280	0.99984	8.83023	6.09665e-05	
290	0.99996	8.15028	4.34242e-05	
300	0.99994	8.36025	4.42052e-05	
310	0.99996	8.80026	4.22402e-05	
320	0.99995	8.37016	4.07747e-05	
330	0.99997	8.30026	4.15607e-05	
340	0.99997	7.72018	4.42848e-05	
350	0.99995	8.43014	4.40356e-05	
360	1	8.3403	4.05894e-05	
370	0.99991	8.04017	4.59775e-05	
380	0.99995	8.04035	4.47746e-05	
390	0.99983	9.30017	4.71499e-05	
400	0.99999	8.61017	4.50714e-05	
410	0.99993	8.83021	4.85697e-05	
420	0.99987	8.47013	4.88556e-05	
430	0.99992	8.18021	4.64268e-05	
440	0.9999	9.38015	5.00701e-05	
450	0.99998	7.98017	3.88225e-05	
460	0.99992	8.35025	4.43381e-05	
470	0.99997	8.37027	4.05674e-05	
480	0.99994	7.6602	3.7721e-05	
490	0.9999	8.96016	4.68314e-05	
500	0.99986	8.65027	5.15983e-05	
510	0.99993	8.48014	4.24639e-05	
520	0.99985	9.32023	5.43481e-05	
530	0.99972	9.83015	6.23385e-05	
540	0.99977	9.07029	5.90118e-05	
550	0.9998	9.37023	5.19667e-05	
560	0.99985	8.6105	4.46515e-05	
570	0.99993	8.33011	4.81363e-05	
580	0.99982	9.0502	4.16961e-05	
590	0.99992	9.00027	4.67822e-05	
600	0.99989	8.9402	4.50986e-05	
610	0.99981	9.70024	5.0521e-05	
620	0.9999	8.61024	4.24036e-05	
630	0.99991	9.27018	3.94295e-05	
640	0.99987	9.33018	5.02554e-05	
650	0.99991	8.19017	4.54601e-05	
660	0.99976	9.57021	5.30959e-05	
670	0.99964	9.70028	5.98296e-05	
680	0.99988	8.8703	5.07414e-05	
690	0.99981	8.70035	4.80262e-05	
700	0.9998	9.42017	4.64331e-05	
710	0.99979	8.82012	6.03472e-05	
720	0.99976	9.40036	4.64187e-05	
730	0.99987	8.97027	4.41691e-05	
740	0.9997	8.89028	5.38185e-05	
750	0.99973	9.09028	4.40392e-05	
760	0.99981	9.46026	4.19815e-05	
770	0.99978	9.49026	4.57532e-05	
780	0.99961	9.93013	6.1486e-05	
790	0.99976	9.79019	6.17299e-05	
800	0.99952	9.56028	7.85616e-05	
810	0.99971	9.34037	5.94607e-05	
820	0.99977	8.94039	5.09653e-05	
830	0.99965	9.38033	5.91628e-05	
840	0.99967	9.93033	6.44101e-05	
850	0.99984	8.79034	4.8787e-05	
860	0.99963	9.11037	5.73411e-05	
870	0.99958	9.70027	6.12671e-05	
880	0.99973	9.26025	5.36367e-05	
890	0.99973	9.45016	5.69461e-05	
900	0.99937	9.66028	7.83499e-05	
