G	ifd_prop	time_to_IFD	sd_intake	
0	0.99994	8.71013	4.50559e-05	
10	0.99988	9.26033	5.4144e-05	
20	0.99985	8.85023	4.76058e-05	
30	0.99991	8.92027	4.78162e-05	
40	0.99995	7.85029	4.36478e-05	
50	0.99992	8.94022	4.752e-05	
60	0.9999	8.63025	5.1331e-05	
70	0.99995	8.33016	4.06072e-05	
80	0.9999	8.69022	4.99967e-05	
90	0.99994	8.47009	4.35302e-05	
100	0.99994	8.25022	4.88419e-05	
110	0.99994	7.92014	4.79004e-05	
120	0.99993	7.92026	4.46818e-05	
130	0.99995	8.33014	4.2998e-05	
140	0.99994	8.25025	4.67191e-05	
150	1	7.7402	4.1936e-05	
160	0.99988	8.22007	5.43169e-05	
170	0.99976	9.62029	5.70161e-05	
180	0.99997	9.09012	4.55232e-05	
190	0.99991	8.71025	4.54926e-05	
200	0.99997	7.89026	3.85502e-05	
210	0.9999	8.45036	4.56085e-05	
220	0.99991	8.13023	4.75343e-05	
230	1	8.4702	4.83634e-05	
240	0.99994	7.87027	4.04333e-05	
250	0.99996	8.32021	3.92009e-05	
260	0.99992	8.6502	4.53513e-05	
270	0.99999	7.56024	3.51582e-05	
280	0.99997	8.29019	4.54043e-05	
290	0.99996	8.00023	3.62426e-05	
300	0.99981	9.73019	5.37927e-05	
310	0.99991	8.91009	4.61516e-05	
320	0.99995	8.4202	3.87134e-05	
330	0.9999	8.96025	5.3449e-05	
340	0.99992	9.0202	4.83114e-05	
350	0.99999	7.57011	4.40795e-05	
360	0.99997	7.89028	3.96058e-05	
370	0.99998	7.90006	4.05493e-05	
380	0.99993	8.00023	4.5182e-05	
390	0.99988	8.31023	4.64933e-05	
400	0.99998	8.33022	4.10478e-05	
410	0.99999	8.26024	5.05189e-05	
420	0.99991	9.03014	4.95705e-05	
430	0.99997	8.54013	4.40595e-05	
440	0.99996	8.00022	4.60046e-05	
450	1	7.46018	3.62525e-05	
460	0.99997	8.26028	4.35237e-05	
470	0.99992	9.09023	5.09054e-05	
480	0.99993	8.43022	4.86012e-05	
490	0.99991	8.64016	3.91521e-05	
500	0.99987	8.76023	4.50383e-05	
510	0.99987	8.56014	4.2427e-05	
520	0.99987	9.39018	4.54578e-05	
530	0.99986	8.80018	4.70718e-05	
540	0.99996	8.31026	4.38491e-05	
550	0.99994	8.43031	4.93643e-05	
560	0.99981	9.11036	5.20053e-05	
570	0.99998	7.56022	4.01163e-05	
580	0.99995	8.65019	4.60707e-05	
