G	ifd_prop	time_to_IFD	sd_intake	
0	0.9995	7.76173	0.00268622	
10	0.9999	7.20132	0.00288206	
20	0.9998	7.50174	0.00268376	
30	0.9994	8.25279	0.00286565	
40	0.9998	7.84095	0.00286672	
50	0.999	9.21329	0.0026248	
60	0.9994	9.32247	0.00274283	
70	0.9998	8.41103	0.00267961	
80	0.9993	8.68148	0.00286372	
90	0.9998	7.56124	0.00285239	
100	0.9998	8.57262	0.00303156	
110	0.9999	8.02231	0.00286788	
120	1	7.96111	0.00277	
130	0.9994	8.58197	0.00273572	
140	0.9996	7.57203	0.00281358	
150	0.9997	9.28217	0.0028648	
160	0.9991	9.02179	0.00280957	
170	0.9997	8.43179	0.0028338	
180	1	7.872	0.00278726	
190	0.9998	8.46096	0.00267897	
200	0.9997	8.01312	0.00282623	
210	0.9995	9.11152	0.00286581	
220	0.9999	7.53226	0.00293347	
230	0.9996	8.41108	0.00296613	
240	0.9998	8.12156	0.00270008	
250	0.9998	7.98094	0.00278829	
260	0.9993	9.13198	0.00301149	
270	0.9996	8.51172	0.00289372	
280	0.9996	8.64142	0.00261841	
290	0.9998	8.24218	0.00289015	
300	0.9998	7.84244	0.00287688	
310	0.9997	8.40245	0.00270055	
320	0.9999	7.87167	0.00273266	
330	0.9997	7.86164	0.00292412	
340	0.9997	8.00275	0.00284877	
350	0.9992	8.88204	0.00297824	
360	0.9999	7.36189	0.00261929	
370	0.9996	8.25306	0.00300617	
380	0.9995	8.39218	0.00284718	
390	0.9997	8.5317	0.00283914	
400	0.9996	8.31133	0.00295818	
410	0.9996	8.72122	0.00271674	
420	0.9996	9.41155	0.00292714	
430	0.9997	8.77206	0.00279026	
440	0.9996	8.29277	0.00284255	
450	0.9998	7.75131	0.00258308	
460	0.9999	7.29075	0.00291625	
470	0.9999	7.90194	0.00282814	
480	0.9995	9.03143	0.00302306	
490	0.9996	8.74209	0.00284589	
500	0.9999	8.58191	0.00284044	
510	0.9993	8.94139	0.00268797	
520	0.9996	7.77143	0.00295576	
530	0.9998	8.29167	0.00268805	
540	0.9997	7.8317	0.00267312	
550	0.9998	7.88156	0.00289747	
560	0.9998	7.92191	0.00285971	
570	0.9997	8.55054	0.00294032	
580	0.9996	7.92143	0.00287644	
590	0.9998	8.04192	0.00285889	
600	0.9997	8.45089	0.00298808	
610	0.9998	7.19219	0.00294452	
620	0.9996	8.34267	0.00297445	
630	0.9991	9.05106	0.00310262	
640	0.9997	7.57113	0.00275758	
650	0.9993	9.2215	0.00281193	
660	0.9999	8.48154	0.0030049	
670	0.9999	8.48228	0.00275846	
680	0.9999	7.63321	0.00266722	
690	0.9998	8.63223	0.00298533	
700	0.9996	8.65218	0.00255866	
710	0.9999	7.05209	0.0029307	
720	0.9997	8.84168	0.00295582	
730	0.9998	7.86178	0.00299937	
740	0.9998	8.21125	0.00279896	
750	0.9996	7.63249	0.00293372	
760	0.9995	8.83229	0.00268424	
770	0.9999	7.55231	0.00300574	
780	1	7.46187	0.00271791	
790	0.9997	7.69217	0.00305362	
800	0.9996	8.20197	0.00288799	
810	0.9997	7.99131	0.0031114	
820	0.9998	7.85258	0.00280864	
830	0.9996	8.38181	0.00273724	
840	0.9996	8.12207	0.00277483	
850	0.9996	8.03093	0.00291151	
860	0.9995	8.61189	0.0028184	
870	0.9999	7.81263	0.0027851	
880	0.9994	7.82133	0.00285058	
890	0.9999	7.72155	0.00279763	
900	0.9995	8.19165	0.00284677	
910	0.9999	7.85313	0.00289534	
920	0.9999	8.22172	0.00280467	
930	0.9995	8.84192	0.00275738	
940	0.9996	9.15226	0.00277033	
950	1	7.71195	0.00276803	
960	0.9997	7.95295	0.00306715	
970	0.9999	7.62194	0.00271983	
980	0.9995	8.97104	0.00276562	
990	0.9995	8.66252	0.00267469	
1000	0.9994	8.17127	0.00268538	
1010	0.9996	7.81259	0.00290438	
1020	0.9998	8.0121	0.0028683	
