G	ifd_prop	time_to_IFD	sd_intake	
0	0.99992	7.66049	0.00015408	
10	0.99992	8.69039	0.000154263	
20	0.99996	8.60034	0.000141072	
30	1	7.94019	0.000160099	
40	0.99988	8.18037	0.000171438	
50	0.99996	8.33051	0.000163682	
60	0.99988	8.43055	0.000149532	
70	0.99992	8.29025	0.000141117	
80	0.99994	7.39038	0.00015327	
90	0.9998	8.85033	0.000168862	
100	0.99998	8.55028	0.000161432	
110	0.99992	8.09051	0.000148705	
120	0.99986	8.28033	0.000150192	
130	0.99992	8.34043	0.000169167	
140	0.9999	8.75054	0.000144296	
150	0.99984	8.70031	0.000182107	
160	0.99984	8.67039	0.000152895	
170	0.9999	8.62023	0.000141472	
180	0.99986	8.33029	0.000170907	
190	0.99988	7.68031	0.000157622	
200	0.99978	8.75042	0.000169421	
210	0.99992	8.63035	0.000153586	
220	0.99982	7.73028	0.000152277	
230	0.99994	7.87049	0.00016496	
240	0.99994	7.42026	0.000139921	
250	0.99982	8.42044	0.000148371	
260	0.99994	8.07016	0.000151059	
270	1	7.96008	0.000141778	
280	0.99994	8.59042	0.000138853	
290	0.99988	8.4404	0.000158879	
300	0.99994	8.2103	0.000161082	
310	0.99994	8.50036	0.000160548	
320	0.99992	8.5103	0.000144912	
330	0.99998	7.73022	0.000139797	
340	0.99998	8.01031	0.000136968	
350	0.99992	8.34042	0.000166312	
360	0.99994	8.11028	0.000164312	
370	0.99992	8.59048	0.00016195	
380	0.9999	9.15038	0.000171052	
390	0.99986	9.12052	0.000175627	
400	0.99988	8.99039	0.000164988	
410	0.99994	7.7303	0.000156567	
420	0.99984	8.68028	0.000161301	
430	1	7.54062	0.000146425	
440	0.99986	7.94048	0.000147376	
450	0.99984	8.7904	0.000150695	
460	0.99992	8.35032	0.000167194	
470	0.99994	8.57035	0.000147912	
480	0.99974	9.18053	0.000177151	
490	0.99996	8.86027	0.000169743	
500	0.99994	8.51037	0.000162923	
510	0.9999	8.3703	0.000135075	
520	0.9998	8.81016	0.000150055	
530	0.99974	9.19031	0.000151087	
540	0.9998	8.8603	0.000176456	
550	0.99992	7.86057	0.000161208	
560	0.99992	8.77043	0.000153376	
570	0.99984	8.9205	0.000168206	
580	0.99984	8.51043	0.000161309	
590	0.99976	9.10032	0.000182766	
600	0.99992	8.9704	0.000164855	
