G	ifd_prop	time_to_IFD	sd_intake	
0	0.9999	8.37034	0.000145193	
10	0.99998	7.19032	0.000133075	
20	0.99982	8.59034	0.000158999	
30	0.99994	8.15036	0.000165915	
40	0.9999	8.55078	0.000160314	
50	0.99992	7.88043	0.000166336	
60	0.99984	8.26046	0.00017139	
70	0.99984	8.81031	0.000171993	
80	0.99988	8.8703	0.000168669	
90	0.99988	8.34038	0.000174285	
100	0.99988	8.3304	0.000169301	
110	0.99996	8.34029	0.000150615	
120	0.99996	8.04043	0.000162784	
130	0.99988	8.54029	0.000132671	
140	1	7.83026	0.000151674	
150	0.99998	7.70021	0.000135594	
160	0.99998	7.53024	0.000142126	
170	0.99994	8.19023	0.000156679	
180	0.9999	8.16055	0.000149246	
190	0.99994	8.48039	0.000141172	
200	0.99986	8.2404	0.00015612	
210	0.9999	8.27018	0.000166313	
220	0.99988	8.6702	0.000156065	
230	0.99976	9.0004	0.000190997	
240	0.99994	8.0804	0.000157123	
250	0.99996	8.05029	0.000152239	
260	0.99978	9.0503	0.000148723	
270	0.99988	8.29036	0.000172163	
280	0.99992	8.64044	0.000153186	
290	0.99994	8.03017	0.000134951	
300	1	7.49037	0.000136953	
310	0.99988	9.02035	0.000172337	
320	0.99992	8.81037	0.000146705	
330	0.99994	7.99037	0.000158662	
340	0.9999	8.10035	0.000160933	
350	0.99992	8.11046	0.000154065	
360	0.9999	7.82039	0.000162759	
370	0.99992	8.70035	0.000168863	
380	0.99992	8.14029	0.000167645	
390	0.99978	8.03046	0.00015118	
400	1	7.7203	0.000155372	
410	0.99992	8.63031	0.000162459	
420	0.99984	8.57027	0.000166943	
430	0.9999	8.77051	0.000146817	
440	0.99992	8.42047	0.000142465	
450	0.99994	8.83067	0.000148988	
460	0.99992	8.33031	0.00015497	
470	0.99998	8.10039	0.000162297	
480	0.99994	8.42019	0.000150529	
490	0.99982	8.8603	0.000169013	
500	0.99994	8.14026	0.000149596	
510	0.99984	8.18041	0.000161641	
520	0.99978	8.88042	0.000160251	
530	0.9999	7.75036	0.000148404	
540	0.99992	8.8405	0.000159129	
550	0.99994	7.39043	0.000164729	
560	0.99984	9.35053	0.000152526	
570	0.9999	7.71053	0.000151446	
580	0.99962	9.02057	0.000165106	
590	0.9999	8.58043	0.000176844	
600	0.99992	7.98047	0.000155472	
610	0.99982	9.36034	0.000190743	
620	0.99992	7.61056	0.000151692	
630	0.99988	8.77046	0.00015747	
640	0.99992	8.58037	0.000157665	
650	0.99994	8.8503	0.000162194	
660	0.99996	9.09046	0.000161122	
670	0.9999	8.05033	0.000156539	
680	0.99992	8.46023	0.000169992	
690	0.9999	9.72029	0.00018	
700	0.99998	8.63049	0.000158538	
710	0.99992	8.22036	0.000155454	
720	0.9998	8.91018	0.000166507	
730	0.99996	9.06041	0.000160797	
740	0.99988	8.97035	0.000150256	
750	0.99996	8.0003	0.000150836	
760	0.99968	8.62024	0.000166627	
770	0.99994	8.75058	0.00014391	
780	0.99982	8.63065	0.000162371	
790	0.99992	8.43024	0.000151612	
800	0.9999	8.65042	0.000161566	
810	0.99994	8.51029	0.00017388	
820	0.99994	8.48047	0.000142766	
830	0.99994	8.31019	0.00015654	
840	0.99988	8.95051	0.000163627	
850	1	8.38031	0.000138832	
860	0.99984	8.88068	0.000152537	
870	0.99976	8.68034	0.000160788	
880	0.99982	9.05046	0.000160813	
890	0.99986	8.85025	0.000173634	
900	0.99994	7.58072	0.000154842	
910	0.9999	8.11021	0.00016288	
920	0.9998	8.50048	0.000174821	
930	0.99986	8.70049	0.00017908	
940	0.9998	9.18032	0.000166946	
950	0.99986	8.49032	0.000167146	
960	0.99988	8.89035	0.000164207	
970	0.99974	8.72049	0.000171856	
980	0.99982	9.25033	0.000172879	
990	0.99992	8.63037	0.000158829	
1000	0.99976	9.29049	0.000188419	
1010	0.9999	7.98038	0.000156315	
1020	0.99998	8.29015	0.000161619	
1030	0.9999	8.22019	0.000137037	
1040	0.99984	9.02021	0.000145285	
1050	0.99984	8.60045	0.000133888	
1060	0.9997	8.94032	0.000193728	
1070	0.99994	7.72026	0.000143446	
1080	0.9999	8.70031	0.00016416	
1090	0.99974	9.0504	0.000158463	
1100	0.99988	8.6305	0.000165821	
1110	0.99988	8.28032	0.000160422	
1120	0.99996	8.30032	0.000146115	
1130	0.99998	8.54042	0.000169154	
1140	0.99988	9.0003	0.000152382	
1150	0.99984	9.01057	0.000155827	
1160	0.99982	8.78019	0.000185547	
1170	0.9998	8.63043	0.00016911	
1180	0.99988	8.19042	0.000175537	
1190	0.99992	8.64054	0.000151356	
1200	0.99984	8.56038	0.000166736	
1210	0.99978	9.26029	0.000185394	
1220	0.99976	9.07037	0.000168507	
1230	0.99988	8.80075	0.000154548	
1240	0.99988	8.28053	0.000165986	
1250	0.99994	8.3004	0.000139096	
1260	0.99982	8.46042	0.000166312	
1270	0.99988	8.41036	0.000163615	
1280	0.99974	9.4903	0.000179236	
1290	0.99996	8.23044	0.000154789	
1300	0.99982	8.9505	0.000154637	
1310	0.99974	9.49032	0.000171992	
1320	0.99988	8.40045	0.000155063	
1330	0.99968	8.79025	0.0001966	
1340	0.99978	9.32037	0.000180695	
1350	0.99984	7.95039	0.000153793	
1360	0.9999	8.70062	0.00017175	
1370	0.99992	8.41025	0.000157068	
