G	ifd_prop	time_to_IFD	sd_intake	
0	0.99984	8.79055	0.000162969	
10	0.99992	8.07034	0.000159485	
20	0.99996	8.35052	0.000161156	
30	0.99988	9.05053	0.000144459	
40	0.99996	7.79048	0.000155252	
50	0.99996	8.48033	0.000169928	
60	0.99984	8.81067	0.000158052	
70	0.99994	8.76064	0.000164021	
80	1	7.73047	0.000154851	
90	0.99992	7.75069	0.000142125	
100	0.99998	8.40038	0.00015058	
110	0.99996	8.34026	0.000152317	
120	0.99986	9.20058	0.00017296	
130	0.9999	8.52028	0.000159316	
140	0.99994	8.54054	0.00014706	
150	0.99992	9.02049	0.000147849	
160	0.99988	9.1206	0.000185393	
170	0.9999	9.08057	0.000140018	
180	0.99998	7.73077	0.000143267	
190	0.99998	7.94034	0.000140346	
200	0.9999	8.49035	0.000146476	
210	0.99988	8.29052	0.000155435	
220	0.99986	8.01072	0.000147709	
230	0.99984	8.40029	0.000148132	
240	0.99992	8.03022	0.000153312	
250	0.99986	8.39051	0.000174855	
260	0.99982	9.58042	0.000154013	
270	0.99992	8.67057	0.000172762	
280	0.99988	8.5701	0.000146171	
290	0.99992	8.93022	0.000160723	
300	0.9999	8.33035	0.000146079	
310	0.99992	7.97066	0.000137484	
320	0.9999	8.52063	0.000158207	
330	0.99994	7.54055	0.0001577	
340	0.99996	8.6605	0.000152682	
350	0.99986	8.54037	0.000159514	
360	0.99988	8.70043	0.000166999	
370	0.99996	9.11035	0.000158676	
380	0.99986	9.06034	0.000155267	
390	0.99994	8.30023	0.000157719	
400	0.99984	9.4003	0.000159038	
410	0.99976	8.63043	0.000179027	
420	0.99992	8.58033	0.000161104	
430	0.9999	7.96071	0.000163302	
440	0.99984	8.37043	0.00015002	
450	0.99986	8.64036	0.000173204	
460	0.99986	9.13028	0.000175871	
470	0.99986	8.53029	0.000158555	
480	1	7.89017	0.000160034	
490	0.99998	7.73056	0.000147911	
500	0.99986	8.86034	0.000152758	
510	0.99994	8.97019	0.000143128	
520	0.99984	8.53023	0.000151029	
530	0.9998	9.06044	0.000170613	
540	0.99992	8.15053	0.000153694	
550	0.99994	8.27051	0.000161595	
560	0.99998	8.56041	0.000152432	
570	0.99988	8.73034	0.000165735	
580	0.9999	8.30018	0.000155638	
590	0.99986	9.08036	0.000182298	
600	0.99988	7.82042	0.000163354	
610	0.99998	7.61044	0.000150281	
620	0.99992	8.42032	0.000149006	
630	0.99988	9.19038	0.000167465	
640	1	8.48032	0.000149056	
650	0.9999	9.18061	0.000153646	
660	0.99976	8.98021	0.000192148	
670	0.99992	9.00052	0.000149138	
680	0.99984	9.04058	0.000163543	
690	0.99994	8.07051	0.000182846	
700	0.99992	8.68038	0.000146876	
710	0.99994	8.26035	0.000167999	
720	0.99992	8.25044	0.000156329	
730	0.99986	8.6103	0.000156886	
740	0.9999	8.70042	0.000157625	
750	0.99986	8.5003	0.000145315	
760	0.99978	9.16053	0.000155666	
770	0.99988	8.82031	0.000158025	
780	0.99988	8.85076	0.000166833	
790	0.9999	8.63035	0.000163392	
800	1	7.4302	0.000158581	
